M&A SDC Deal Number,Date Announced,Rank Date,"Rank Value inc. Net Debt of Target
(EUR, Millions)",Target Full Name,Target Macro Industry,Target Mid Industry,Target Nation,Acquiror Full Name,Acquiror Macro Industry,Acquiror Mid Industry,Acquiror Nation,"Target Financial Advisor Name
('|')","Acquiror Financial Advisor Name
('|')","Target Net Sales Last 12 Months
(EUR, Millions)","EBITDA Last 12 Months
(EUR, Millions)","Enterprise Value at Announcement
(EUR, Millions, '|')",Target Industry Sector,Target Public Status,,Year
4272335040,14/08/2024,14/08/2024,1.58,Sarsys-Asft AB,Industrials,Other Industrials,Sweden,Grundbulten 137100 AB,Financials,Other Financials,Sweden,Redeye AB,Partner Fondkommission AB,3.76,-0.23,2.88,"Measuring, Medical, Photo Equipment; Clocks",Public,,"2,024.00"
4272502020,08/08/2024,08/08/2024,13.22,GSE Systems Inc,High Technology,Software,United States,Nuclear Engineering Holdings LLC,Financials,Other Financials,United States,Robert W Baird & Co Inc|Ankura Consulting Group LLC,,41.81,-1.02,13.17,Prepackaged Software,Public,,"2,024.00"
4269825040,06/08/2024,06/08/2024,2.64,INEO Tech Corp,Consumer Products and Services,Professional Services,Canada,Coenda Investment Holdings Corp,Financials,Other Financials,Canada,,,0.98,-1.78,3.91,Business Services,Public,,"2,024.00"
4268252040,03/08/2024,03/08/2024,6.82,Big Cheese Studio SA,High Technology,Software,Poland,Investor Group,Financials,Other Financials,Poland,,,2.71,1.05,11.29,Prepackaged Software,Public,,"2,024.00"
4267658040,01/08/2024,01/08/2024,0.27,Braille Energy Systems Inc,Energy and Power,Other Energy & Power,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,2.43,-1.35,5.86,Electronic and Electrical Equipment,Public,,"2,024.00"
4267178040,31/07/2024,31/07/2024,0.17,Sparx Technology Inc,High Technology,Software,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,0.19,-0.33,0.58,Prepackaged Software,Public,,"2,024.00"
4275366040,31/07/2024,31/07/2024,2.49,Lusa Agencia De Noticias De Portugal Sa,Media and Entertainment,Publishing,Portugal,Republic of Portugal,Government and Agencies,National Government,Portugal,,,17.20,0.84,5.16,Business Services,Private,,"2,024.00"
4266654040,30/07/2024,30/07/2024,0.27,Moovly Media Inc,High Technology,Software,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,0.66,-1.04,4.21,Prepackaged Software,Public,,"2,024.00"
4269973020,24/07/2024,24/07/2024,1.17,Pieris Pharmaceuticals Inc,Healthcare,Biotechnology,United States,Palvella Therapeutics Inc,Healthcare,Biotechnology,United States,Stifel Nicolaus & Co Inc,,19.48,-3.56,1.17,Drugs,Public,,"2,024.00"
4264804040,17/07/2024,17/07/2024,0.44,Jelsingrad Livar Livnica Celika Ad Banja Luka,Materials,Metals & Mining,Bosnia and Herzegovina,Bll Steel Doo,Materials,Metals & Mining,Bosnia and Herzegovina,,,5.44,0.44,0.11,Metal and Metal Products,Public,,"2,024.00"
4261485040,15/07/2024,15/07/2024,0.67,Ostrom Climate Solutions Inc,Energy and Power,Water and Waste Management,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,3.43,-1.59,3.69,Sanitary Services,Public,,"2,024.00"
4261549040,12/07/2024,12/07/2024,0.60,Stil Termica Termo Idraulica Laziale Srl,Industrials,Building/Construction & Engineering,Italy,Renovalo SpA,Industrials,Building/Construction & Engineering,Italy,,,1.16,0.39,0.11,Construction Firms,Private,,"2,024.00"
4260626040,11/07/2024,11/07/2024,0.88,Resscapital AB,Financials,Other Financials,Sweden,Mangold AB,Financials,Brokerage,Sweden,,,8.33,5.76,10.32,Investment & Commodity Firms/Dealers/Exchanges,Private,,"2,024.00"
4258746040,08/07/2024,08/07/2024,1.55,Diamond Estates Wines & Spirits Inc,Consumer Staples,Food and Beverage,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,19.51,-2.23,18.81,Food and Kindred Products,Public,,"2,024.00"
4259364040,08/07/2024,08/07/2024,1.37,Drozapol-Profil SA,Materials,Metals & Mining,Poland,Investor Group,Financials,Other Financials,Poland,Trigon Dom Maklerski SA,,13.42,-1.12,1.69,Wholesale Trade-Durable Goods,Public,,"2,024.00"
4261506040,08/07/2024,08/07/2024,9.23,Dogan Burda Dergi Yayincilik ve Pazarlma AS,Media and Entertainment,Publishing,Turkey,Investor Group,Financials,Other Financials,Turkey,,,11.48,-0.40,11.07,"Printing, Publishing, and Allied Services",Public,,"2,024.00"
4258298020,05/07/2024,05/07/2024,1.02,ARCpoint Inc,Healthcare,Healthcare Equipment & Supplies,United States,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,6.09,-6.10,8.64,Health Services,Public,,"2,024.00"
4261533040,05/07/2024,05/07/2024,0.22,Isacco Srl,Energy and Power,Water and Waste Management,Italy,Haiki Recycling Srl,Energy and Power,Water and Waste Management,Italy,,,2.08,0.19,1.13,Sanitary Services,Private,,"2,024.00"
