Date,Target_Name,Target_Industry_Macro,Target_Industry_Mid,Target_Nation,Buyer_Name,Buyer_Industry_Macro,Buyer_Industry_Mid,Buyer_Nation,Target_Revenues,Target_EBITDA,Target_EV,Target_Industry_Detailed,Target_Status,Year,EV_Rev,EV_EBITDA,Target_Revenues_v2,Target_EBITDA_v2,Target_EV_v2
10/10/2022,1000mercis SA,Media and Entertainment,Advertising & Marketing,France,Positive Ympact SAS,Financials,Other Financials,France,72.71,4.36,67.20,Business Services,Public,2022,0.92,15.42,72.71,4.36,67.20
17/03/2022,1000mercis SA,Media and Entertainment,Advertising & Marketing,France,Positive Ympact SAS,Financials,Other Financials,France,68.90,5.19,63.08,Business Services,Public,2022,0.92,12.16,68.90,5.19,63.08
19/03/2021,10557510 Canada Corp,Consumer Products and Services,Professional Services,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,0.14,-0.69,5.01,Business Services,Private,2021,34.73,-7.28,0.14,-0.69,5.01
13/06/2019,11 88 0 Solutions AG,Consumer Products and Services,Professional Services,Germany,united vertical media GmbH,Media and Entertainment,Advertising & Marketing,Germany,43.95,2.45,40.64,Business Services,Public,2019,0.92,16.59,43.95,2.45,40.64
09/06/2015,18 Feet & Rising Ltd,Media and Entertainment,Advertising & Marketing,United Kingdom,Creston PLC,Media and Entertainment,Advertising & Marketing,United Kingdom,8.69,0.34,1.59,Advertising Services,Private,2015,0.18,4.72,8.69,0.34,1.59
04/05/2023,1895 Bancorp Of Wisconsin Inc,Financials,Banks,United States,1895 Bancorp Of Wisconsin Inc,Financials,Banks,United States,15.26,0.33,97.55,"Commercial Banks, Bank Holding Companies",Public,2023,6.39,296.17,15.26,0.33,97.55
07/06/2024,1933 Industries Inc,Consumer Staples,Agriculture & Livestock,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,13.65,-3.34,15.96,"Agriculture, Forestry, and Fishing",Public,2024,1.17,-4.78,13.65,-3.34,15.96
02/11/2020,1933 Industries Inc,Consumer Staples,Agriculture & Livestock,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,6.94,-8.15,28.34,"Agriculture, Forestry, and Fishing",Public,2020,4.08,-3.48,6.94,-8.15,28.34
13/03/2019,1933 Industries Inc,Consumer Staples,Agriculture & Livestock,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,10.36,-4.04,73.40,"Agriculture, Forestry, and Fishing",Public,2019,7.08,-18.16,10.36,-4.04,73.40
21/07/2022,1Life Healthcare Inc,Healthcare,Healthcare Providers & Services (HMOs),United States,Amazon.com Inc,Retail,Other Retailing,United States,850.50,-231.83,"3,398.74",Health Services,Public,2022,4.00,-14.66,850.50,-231.83,"3,398.74"
